ConfigRuleName,SourceIdentifier
acm-certificate-expiration-check,ACM_CERTIFICATE_EXPIRATION_CHECK
alb-http-to-https-redirection-check,ALB_HTTP_TO_HTTPS_REDIRECTION_CHECK
cloud-trail-cloud-watch-logs-enabled,CLOUD_TRAIL_CLOUD_WATCH_LOGS_ENABLED
cloud-trail-encryption-enabled,CLOUD_TRAIL_ENCRYPTION_ENABLED
cloud-trail-log-file-validation-enabled,CLOUD_TRAIL_LOG_FILE_VALIDATION_ENABLED
cloudfront-accesslogs-enabled,CLOUDFRONT_ACCESSLOGS_ENABLED
cloudfront-associated-with-waf,CLOUDFRONT_ASSOCIATED_WITH_WAF
cloudfront-default-root-object-configured,CLOUDFRONT_DEFAULT_ROOT_OBJECT_CONFIGURED
cloudfront-viewer-policy-https,CLOUDFRONT_VIEWER_POLICY_HTTPS
cloudtrail-enabled,CLOUD_TRAIL_ENABLED
cloudtrail-s3-dataevents-enabled,CLOUDTRAIL_S3_DATAEVENTS_ENABLED
cloudtrail-security-trail-enabled,CLOUDTRAIL_SECURITY_TRAIL_ENABLED
cloudwatch-log-group-encrypted,CLOUDWATCH_LOG_GROUP_ENCRYPTED
cmk-backing-key-rotation-enabled,CMK_BACKING_KEY_ROTATION_ENABLED
cw-loggroup-retention-period-check,CW_LOGGROUP_RETENTION_PERIOD_CHECK
db-instance-backup-enabled,DB_INSTANCE_BACKUP_ENABLED
dms-replication-not-public,DMS_REPLICATION_NOT_PUBLIC
dynamodb-autoscaling-enabled,DYNAMODB_AUTOSCALING_ENABLED
dynamodb-pitr-enabled,DYNAMODB_PITR_ENABLED
dynamodb-table-encrypted-kms,DYNAMODB_TABLE_ENCRYPTED_KMS
ebs-snapshot-public-restorable-check,EBS_SNAPSHOT_PUBLIC_RESTORABLE_CHECK
ec2-ebs-encryption-by-default,EC2_EBS_ENCRYPTION_BY_DEFAULT
ec2-imdsv2-check,EC2_IMDSV2_CHECK
ec2-instance-no-public-ip,EC2_INSTANCE_NO_PUBLIC_IP
ec2-instances-in-vpc,INSTANCES_IN_VPC
efs-encrypted-check,EFS_ENCRYPTED_CHECK
elasticache-redis-cluster-automatic-backup-check,ELASTICACHE_REDIS_CLUSTER_AUTOMATIC_BACKUP_CHECK
elasticsearch-encrypted-at-rest,ELASTICSEARCH_ENCRYPTED_AT_REST
elasticsearch-in-vpc-only,ELASTICSEARCH_IN_VPC_ONLY
elasticsearch-node-to-node-encryption-check,ELASTICSEARCH_NODE_TO_NODE_ENCRYPTION_CHECK
elb-cross-zone-load-balancing-enabled,ELB_CROSS_ZONE_LOAD_BALANCING_ENABLED
elb-custom-security-policy-ssl-check,ELB_CUSTOM_SECURITY_POLICY_SSL_CHECK
elb-logging-enabled,ELB_LOGGING_ENABLED
elb-tls-https-listeners-only,ELB_TLS_HTTPS_LISTENERS_ONLY
encrypted-volumes,ENCRYPTED_VOLUMES
iam-password-policy,IAM_PASSWORD_POLICY
rds-automatic-minor-version-upgrade-enabled,RDS_AUTOMATIC_MINOR_VERSION_UPGRADE_ENABLED
rds-cluster-deletion-protection-enabled,RDS_CLUSTER_DELETION_PROTECTION_ENABLED
rds-instance-deletion-protection-enabled,RDS_INSTANCE_DELETION_PROTECTION_ENABLED
rds-instance-public-access-check,RDS_INSTANCE_PUBLIC_ACCESS_CHECK
rds-logging-enabled,RDS_LOGGING_ENABLED
rds-snapshot-encrypted,RDS_SNAPSHOT_ENCRYPTED
rds-snapshots-public-prohibited,RDS_SNAPSHOTS_PUBLIC_PROHIBITED
rds-storage-encrypted,RDS_STORAGE_ENCRYPTED
redshift-backup-enabled,REDSHIFT_BACKUP_ENABLED
redshift-cluster-configuration-check,REDSHIFT_CLUSTER_CONFIGURATION_CHECK
redshift-cluster-maintenancesettings-check,REDSHIFT_CLUSTER_MAINTENANCESETTINGS_CHECK
redshift-cluster-public-access-check,REDSHIFT_CLUSTER_PUBLIC_ACCESS_CHECK
redshift-require-tls-ssl,REDSHIFT_REQUIRE_TLS_SSL
restricted-ssh,INCOMING_SSH_DISABLED
s3-account-level-public-access-blocks-periodic,S3_ACCOUNT_LEVEL_PUBLIC_ACCESS_BLOCKS_PERIODIC
s3-bucket-public-read-prohibited,S3_BUCKET_PUBLIC_READ_PROHIBITED
s3-bucket-public-write-prohibited,S3_BUCKET_PUBLIC_WRITE_PROHIBITED
s3-bucket-server-side-encryption-enabled,S3_BUCKET_SERVER_SIDE_ENCRYPTION_ENABLED
s3-bucket-ssl-requests-only,S3_BUCKET_SSL_REQUESTS_ONLY
secretsmanager-using-cmk,SECRETSMANAGER_USING_CMK
securityhub-enabled,SECURITYHUB_ENABLED
ssm-document-not-public,SSM_DOCUMENT_NOT_PUBLIC
vpc-default-security-group-closed,VPC_DEFAULT_SECURITY_GROUP_CLOSED
vpc-flow-logs-enabled,VPC_FLOW_LOGS_ENABLED
vpc-sg-open-only-to-authorized-ports,VPC_SG_OPEN_ONLY_TO_AUTHORIZED_PORTS
